"","y","age","jobtype","marital","education","default","balance","housing","loan"
"2417","No",32,"White Collar","Single","Tertiary","No",1731,"Yes","Yes"
"2418","No",62,"White Collar","Married","Tertiary","No",0,"No","No"
"2419","No",31,"Blue Collar","Single","Tertiary","No",23,"No","No"
"2420","Yes",41,"Blue Collar","Single","Secondary","Yes",-386,"No","Yes"
"2421","No",34,"White Collar","Married","Tertiary","No",5498,"No","No"
"2422","Yes",44,"White Collar","Single","Tertiary","No",5063,"No","No"
"2423","No",42,"Blue Collar","Married","Primary","No",7041,"Yes","No"
"2424","No",37,"White Collar","Single","Secondary","No",654,"No","No"
"2425","No",47,"White Collar","Married","Tertiary","No",1890,"No","No"
"2426","No",32,"Other/Unknown","Married","Secondary","No",2400,"Yes","Yes"
"2427","No",46,"Blue Collar","Married","Secondary","No",519,"Yes","No"
"2428","No",39,"Blue Collar","Single","Tertiary","No",1190,"No","No"
"2429","No",28,"Blue Collar","Single","Secondary","No",229,"Yes","No"
"2433","No",33,"Blue Collar","Divorced","Tertiary","No",39,"No","No"
"2435","No",35,"White Collar","Single","Secondary","No",57,"No","Yes"
"2436","No",40,"White Collar","Married","Tertiary","No",1548,"Yes","No"
"2438","No",37,"White Collar","Single","Secondary","No",0,"Yes","No"
"2440","No",28,"Blue Collar","Married","Secondary","No",64,"Yes","No"
"2441","No",49,"Blue Collar","Divorced","Tertiary","No",0,"Yes","No"
"2442","No",36,"White Collar","Married","Secondary","No",957,"Yes","No"
"2443","No",45,"Blue Collar","Married","Secondary","No",118,"Yes","No"
"2444","No",29,"Blue Collar","Single","Tertiary","No",218,"Yes","No"
"2446","No",35,"Other/Unknown","Married","Tertiary","No",20,"Yes","Yes"
"2449","No",25,"Other/Unknown","Single","Tertiary","No",5,"No","No"
"2451","No",42,"Blue Collar","Married","Primary","No",2519,"Yes","No"
"2452","No",57,"White Collar","Married","Secondary","No",3927,"No","No"
"2453","No",42,"White Collar","Divorced","Tertiary","No",401,"Yes","No"
"2454","No",29,"White Collar","Married","Tertiary","No",581,"Yes","Yes"
"2455","No",36,"Blue Collar","Married","Tertiary","No",1327,"No","No"
"2456","No",31,"Other/Unknown","Married","Secondary","No",3242,"No","No"
"2457","No",59,"Blue Collar","Married","Primary","No",3163,"Yes","No"
"2458","No",50,"Other/Unknown","Divorced","Secondary","No",32,"No","No"
"2459","No",47,"White Collar","Married","Secondary","No",310,"Yes","Yes"
"2460","No",46,"Other/Unknown","Married","Primary","No",0,"No","No"
"2462","No",31,"Blue Collar","Single","Secondary","No",11386,"Yes","No"
"2463","No",30,"Blue Collar","Married","Tertiary","No",1380,"Yes","No"
"2464","No",47,"Blue Collar","Single","Unknown","No",2443,"No","No"
"2465","Yes",23,"Blue Collar","Single","Tertiary","No",1129,"Yes","No"
"2466","No",44,"Other/Unknown","Single","Primary","No",4232,"No","No"
"2467","No",42,"White Collar","Married","Secondary","No",5564,"No","No"
"2468","No",32,"Blue Collar","Single","Secondary","No",-402,"Yes","No"
"2469","No",28,"White Collar","Single","Secondary","No",1323,"Yes","No"
"2470","No",57,"Other/Unknown","Married","Primary","No",1623,"Yes","Yes"
"2471","No",38,"Blue Collar","Married","Tertiary","No",1042,"Yes","No"
"2473","No",54,"White Collar","Married","Secondary","No",865,"Yes","No"
"2474","No",32,"Blue Collar","Married","Tertiary","No",-1053,"Yes","No"
"2476","No",59,"White Collar","Divorced","Secondary","No",975,"Yes","No"
"2477","No",45,"Blue Collar","Married","Secondary","No",2571,"No","No"
"2478","Yes",53,"Other/Unknown","Married","Primary","No",732,"No","No"
"2480","No",34,"Blue Collar","Married","Secondary","No",-136,"Yes","Yes"
"2481","Yes",35,"White Collar","Divorced","Secondary","No",3636,"No","Yes"
"2482","No",30,"White Collar","Married","Tertiary","No",931,"No","No"
"2483","No",62,"Other/Unknown","Married","Secondary","No",565,"No","No"
"2484","No",40,"Blue Collar","Married","Secondary","No",271,"Yes","No"
"2485","No",26,"White Collar","Single","Tertiary","No",1153,"No","No"
"2486","No",34,"White Collar","Married","Tertiary","No",-73,"Yes","No"
"2488","No",31,"Other/Unknown","Divorced","Tertiary","No",137,"No","No"
"2489","No",35,"Blue Collar","Married","Secondary","No",700,"Yes","No"
"2490","No",55,"Other/Unknown","Married","Primary","No",-966,"No","Yes"
"2491","No",34,"White Collar","Married","Secondary","No",96,"No","No"
"2492","No",58,"Other/Unknown","Married","Primary","No",4007,"No","No"
"2493","No",50,"White Collar","Single","Tertiary","No",567,"Yes","No"
"2494","No",31,"Blue Collar","Single","Secondary","No",40,"No","No"
"2495","No",47,"White Collar","Divorced","Secondary","No",136,"No","Yes"
"2496","No",38,"White Collar","Single","Tertiary","No",917,"Yes","No"
"2497","No",46,"White Collar","Single","Tertiary","No",593,"Yes","No"
"2498","No",42,"Blue Collar","Married","Primary","No",505,"Yes","No"
"2499","No",34,"Blue Collar","Married","Secondary","No",2542,"Yes","No"
"2500","Yes",37,"White Collar","Married","Tertiary","No",5355,"No","No"
"2501","No",38,"Other/Unknown","Single","Tertiary","No",807,"No","No"
"2502","No",59,"Other/Unknown","Married","Secondary","No",9976,"Yes","No"
"2503","No",32,"White Collar","Married","Secondary","No",0,"No","No"
"2504","No",55,"White Collar","Married","Tertiary","No",540,"No","No"
"2505","No",35,"Blue Collar","Married","Secondary","No",280,"Yes","Yes"
"2506","No",56,"White Collar","Divorced","Tertiary","No",-59,"No","Yes"
"2507","No",27,"White Collar","Married","Secondary","Yes",-517,"Yes","No"
"2508","No",42,"Other/Unknown","Single","Secondary","No",2613,"Yes","No"
"2509","No",42,"Other/Unknown","Married","Unknown","No",-7,"No","No"
"2510","No",41,"Blue Collar","Married","Primary","No",0,"Yes","No"
"2511","No",53,"Other/Unknown","Divorced","Secondary","Yes",-200,"No","Yes"
"2512","No",67,"Other/Unknown","Married","Primary","No",2301,"No","No"
"2513","Yes",53,"Other/Unknown","Married","Primary","No",104,"No","Yes"
"2514","No",33,"Blue Collar","Married","Primary","No",191,"Yes","No"
"2515","No",31,"Blue Collar","Single","Unknown","No",694,"Yes","No"
"2516","No",31,"White Collar","Married","Secondary","No",212,"Yes","No"
"2517","No",30,"White Collar","Married","Tertiary","No",1882,"Yes","No"
"2518","No",48,"Blue Collar","Married","Unknown","No",131,"Yes","No"
"2519","No",30,"Blue Collar","Single","Secondary","No",175,"No","No"
"2520","No",43,"Blue Collar","Single","Tertiary","Yes",0,"No","No"
"2521","No",38,"White Collar","Divorced","Tertiary","No",4425,"Yes","No"
"2522","No",46,"Other/Unknown","Married","Secondary","No",3533,"Yes","No"
"2523","No",59,"Blue Collar","Divorced","Secondary","No",3573,"No","No"
"2524","No",44,"White Collar","Divorced","Tertiary","No",476,"Yes","Yes"
"2527","No",39,"White Collar","Single","Tertiary","No",0,"Yes","No"
"2528","No",36,"Blue Collar","Single","Secondary","No",398,"Yes","Yes"
"2529","No",33,"Blue Collar","Married","Secondary","No",745,"Yes","No"
"2531","No",33,"White Collar","Single","Tertiary","No",0,"No","No"
"2532","No",67,"Other/Unknown","Married","Unknown","No",696,"No","No"
"2533","No",48,"Other/Unknown","Divorced","Secondary","No",1266,"Yes","No"
"2534","No",57,"White Collar","Married","Tertiary","No",2416,"No","No"
"2535","No",31,"Other/Unknown","Married","Primary","No",25,"No","No"
"2536","No",30,"Other/Unknown","Single","Tertiary","No",7513,"No","No"
"2538","No",26,"Blue Collar","Married","Primary","No",5116,"Yes","No"
"2539","No",44,"White Collar","Married","Secondary","No",-1746,"Yes","No"
"2542","No",47,"White Collar","Married","Unknown","No",14,"Yes","No"
"2543","No",30,"White Collar","Single","Secondary","No",105,"Yes","No"
"2544","No",37,"White Collar","Married","Tertiary","No",767,"No","Yes"
"2545","No",56,"White Collar","Divorced","Primary","No",0,"No","Yes"
"2546","No",43,"White Collar","Single","Secondary","No",-228,"Yes","Yes"
"2547","No",42,"Blue Collar","Married","Secondary","No",508,"Yes","No"
"2548","No",60,"White Collar","Married","Secondary","No",725,"Yes","No"
"2549","No",34,"Blue Collar","Married","Unknown","No",41,"Yes","No"
"2550","No",34,"White Collar","Single","Tertiary","No",184,"No","No"
"2551","No",41,"White Collar","Married","Tertiary","No",251,"No","Yes"
"2552","No",38,"White Collar","Divorced","Secondary","No",-17,"No","No"
"2553","No",23,"Blue Collar","Married","Secondary","No",-19,"Yes","No"
"2554","Yes",33,"White Collar","Married","Tertiary","No",1064,"Yes","No"
"2555","No",36,"Blue Collar","Married","Secondary","No",777,"Yes","No"
"2558","No",40,"Blue Collar","Divorced","Secondary","No",-375,"Yes","No"
"2559","No",72,"Other/Unknown","Married","Primary","No",796,"No","No"
"2560","No",43,"Blue Collar","Married","Secondary","No",17,"Yes","No"
"2562","No",35,"White Collar","Married","Secondary","No",0,"Yes","No"
"2563","No",46,"White Collar","Divorced","Secondary","No",7378,"No","No"
"2565","No",50,"Blue Collar","Divorced","Secondary","No",-701,"Yes","Yes"
"2566","No",23,"Blue Collar","Single","Unknown","No",817,"Yes","No"
"2567","No",34,"Other/Unknown","Married","Unknown","No",1387,"No","No"
"2568","No",40,"Blue Collar","Married","Secondary","No",0,"Yes","Yes"
"2569","Yes",61,"Other/Unknown","Married","Secondary","No",2917,"No","No"
"2570","No",53,"Blue Collar","Married","Secondary","No",4541,"Yes","No"
"2571","No",57,"Blue Collar","Married","Secondary","No",0,"No","No"
"2572","No",28,"Blue Collar","Married","Secondary","No",4287,"No","No"
"2573","No",25,"White Collar","Married","Secondary","No",242,"Yes","No"
"2574","No",38,"Blue Collar","Married","Secondary","No",171,"Yes","Yes"
"2575","No",27,"Blue Collar","Single","Secondary","No",259,"Yes","No"
"2576","No",45,"Blue Collar","Married","Secondary","No",827,"Yes","No"
"2577","No",31,"Blue Collar","Single","Secondary","No",469,"No","Yes"
"2578","No",39,"Blue Collar","Married","Primary","No",2226,"Yes","No"
"2579","No",42,"Blue Collar","Married","Secondary","No",0,"No","No"
"2580","No",46,"White Collar","Married","Tertiary","No",477,"Yes","No"
"2581","No",36,"Blue Collar","Married","Secondary","No",42,"Yes","No"
"2582","No",30,"White Collar","Single","Tertiary","No",775,"Yes","No"
"2583","No",32,"Blue Collar","Married","Secondary","No",9,"Yes","No"
"2585","No",31,"White Collar","Married","Tertiary","No",2395,"No","No"
"2586","No",60,"White Collar","Married","Primary","No",4895,"No","No"
"2587","No",35,"Blue Collar","Single","Secondary","No",376,"Yes","Yes"
"2588","No",38,"White Collar","Married","Tertiary","No",389,"Yes","No"
"2589","No",46,"White Collar","Divorced","Tertiary","No",134,"No","No"
"2590","No",45,"White Collar","Divorced","Tertiary","No",1273,"Yes","Yes"
"2591","No",59,"Blue Collar","Married","Secondary","No",0,"Yes","No"
"2592","No",34,"White Collar","Married","Tertiary","No",2892,"Yes","Yes"
"2593","No",33,"Blue Collar","Divorced","Secondary","No",0,"Yes","No"
"2594","No",46,"White Collar","Single","Secondary","No",295,"Yes","No"
"2595","No",48,"White Collar","Married","Secondary","No",292,"Yes","Yes"
"2596","No",31,"Blue Collar","Single","Secondary","No",85,"No","No"
"2598","No",35,"Blue Collar","Divorced","Primary","No",-587,"Yes","No"
"2600","No",52,"White Collar","Married","Tertiary","No",-1224,"Yes","No"
"2601","No",45,"White Collar","Divorced","Tertiary","No",959,"No","No"
"2602","No",34,"White Collar","Married","Tertiary","No",0,"No","No"
"2603","No",25,"Blue Collar","Married","Primary","Yes",-589,"Yes","No"
"2604","No",26,"White Collar","Single","Tertiary","No",-8,"No","No"
"2605","No",57,"White Collar","Married","Unknown","No",0,"No","No"
"2606","No",48,"White Collar","Married","Primary","No",247,"Yes","Yes"
"2607","No",48,"Blue Collar","Married","Unknown","No",5543,"No","No"
"2608","No",32,"Blue Collar","Married","Primary","No",642,"No","Yes"
"2609","No",58,"Other/Unknown","Married","Secondary","No",11,"No","No"
"2610","No",57,"White Collar","Married","Primary","No",-226,"Yes","No"
"2611","No",31,"White Collar","Married","Tertiary","No",5191,"No","No"
"2612","No",33,"Blue Collar","Single","Secondary","No",-320,"No","No"
"2613","No",53,"White Collar","Married","Tertiary","No",2289,"Yes","Yes"
"2615","No",32,"Blue Collar","Single","Tertiary","No",705,"Yes","No"
"2617","No",35,"Other/Unknown","Married","Tertiary","No",816,"Yes","No"
"2618","No",41,"Blue Collar","Married","Secondary","No",171,"No","No"
"2619","No",54,"Blue Collar","Married","Secondary","No",812,"No","No"
"2620","Yes",49,"Blue Collar","Married","Secondary","No",823,"No","No"
"2622","No",24,"Blue Collar","Single","Unknown","No",431,"Yes","No"
"2623","No",30,"White Collar","Single","Secondary","No",1009,"Yes","No"
"2624","No",32,"White Collar","Married","Primary","No",286,"Yes","No"
"2625","No",53,"White Collar","Married","Tertiary","No",22370,"Yes","No"
"2626","No",42,"Blue Collar","Married","Primary","No",2111,"Yes","No"
"2627","No",48,"Blue Collar","Married","Primary","No",5366,"Yes","No"
"2628","No",33,"Blue Collar","Married","Secondary","No",181,"Yes","Yes"
"2629","No",31,"Blue Collar","Divorced","Secondary","No",-452,"Yes","No"
"2630","No",56,"Other/Unknown","Divorced","Primary","No",1770,"No","No"
"2631","No",58,"Other/Unknown","Married","Primary","No",0,"No","No"
"2632","No",37,"White Collar","Single","Secondary","No",-296,"Yes","No"
"2633","No",59,"White Collar","Married","Primary","No",2358,"Yes","No"
"2634","Yes",50,"White Collar","Single","Tertiary","No",1200,"No","No"
"2635","No",39,"Other/Unknown","Single","Primary","No",109,"Yes","No"
"2636","No",30,"Blue Collar","Married","Secondary","No",616,"Yes","No"
"2637","No",47,"Blue Collar","Divorced","Secondary","No",4906,"Yes","No"
"2638","No",44,"White Collar","Married","Secondary","No",313,"No","No"
"2639","No",38,"Blue Collar","Married","Primary","No",290,"Yes","No"
"2640","No",50,"White Collar","Married","Tertiary","No",1240,"No","No"
"2642","No",73,"Other/Unknown","Married","Secondary","No",19,"No","No"
"2643","No",46,"Blue Collar","Married","Primary","No",143,"Yes","No"
"2644","No",56,"Other/Unknown","Divorced","Secondary","No",212,"No","Yes"
"2645","Yes",36,"White Collar","Married","Tertiary","No",9,"No","No"
"2646","No",33,"Blue Collar","Married","Primary","No",3074,"No","No"
"2647","No",40,"White Collar","Married","Tertiary","No",1734,"Yes","No"
"2648","No",52,"White Collar","Married","Tertiary","No",575,"No","No"
"2649","No",51,"Blue Collar","Married","Secondary","No",397,"Yes","No"
"2650","No",33,"Blue Collar","Married","Secondary","No",640,"Yes","No"
"2651","No",54,"Blue Collar","Married","Secondary","No",158,"Yes","No"
"2652","No",44,"White Collar","Married","Secondary","No",2984,"Yes","No"
"2653","No",50,"White Collar","Married","Secondary","No",1011,"Yes","No"
"2656","Yes",42,"Blue Collar","Married","Secondary","No",4945,"Yes","No"
"2657","No",37,"Blue Collar","Married","Secondary","No",712,"Yes","No"
"2658","No",28,"Blue Collar","Single","Secondary","No",-427,"Yes","Yes"
"2659","No",56,"White Collar","Married","Secondary","No",2146,"No","Yes"
"2661","No",32,"Other/Unknown","Married","Secondary","No",10,"Yes","No"
"2662","No",57,"Other/Unknown","Married","Primary","No",1238,"Yes","No"
"2663","No",49,"White Collar","Single","Secondary","No",981,"Yes","No"
"2664","No",56,"White Collar","Married","Unknown","No",575,"No","No"
"2665","No",48,"White Collar","Divorced","Unknown","No",-70,"No","No"
"2667","No",31,"White Collar","Single","Tertiary","No",574,"Yes","No"
"2668","No",28,"Blue Collar","Single","Secondary","No",43,"No","No"
"2669","No",36,"White Collar","Married","Tertiary","No",428,"No","No"
"2670","No",58,"Other/Unknown","Married","Primary","No",0,"Yes","No"
"2672","No",32,"White Collar","Single","Tertiary","No",474,"Yes","No"
"2673","No",39,"Blue Collar","Married","Secondary","No",-540,"No","No"
"2675","Yes",31,"White Collar","Married","Tertiary","No",325,"Yes","No"
"2677","No",48,"Blue Collar","Married","Primary","No",574,"No","No"
"2678","No",60,"Other/Unknown","Married","Primary","No",0,"No","No"
"2680","No",30,"Blue Collar","Married","Secondary","No",699,"Yes","No"
"2681","No",52,"White Collar","Single","Primary","No",0,"No","No"
"2682","No",24,"Blue Collar","Married","Secondary","No",-220,"Yes","No"
"2683","No",29,"Blue Collar","Married","Secondary","No",11417,"Yes","No"
"2684","No",33,"Other/Unknown","Married","Primary","No",212,"Yes","No"
"2685","No",34,"Blue Collar","Married","Secondary","No",67,"Yes","Yes"
"2686","Yes",45,"White Collar","Divorced","Secondary","No",0,"No","No"
"2687","No",31,"Blue Collar","Married","Secondary","No",0,"No","Yes"
"2688","No",45,"Blue Collar","Married","Secondary","No",1673,"No","No"
"2689","No",27,"Blue Collar","Married","Secondary","No",-1202,"Yes","No"
"2690","No",30,"White Collar","Single","Tertiary","No",4213,"No","No"
"2691","No",45,"Blue Collar","Married","Primary","No",0,"No","No"
"2694","No",40,"White Collar","Married","Secondary","No",0,"Yes","Yes"
"2695","No",39,"White Collar","Married","Tertiary","No",399,"No","No"
"2696","No",46,"Blue Collar","Married","Tertiary","No",405,"No","No"
"2698","Yes",25,"White Collar","Single","Tertiary","No",2506,"No","No"
"2699","No",34,"White Collar","Married","Tertiary","No",697,"No","No"
"2701","No",64,"Other/Unknown","Divorced","Tertiary","No",890,"No","No"
"2703","No",57,"Other/Unknown","Married","Secondary","No",158,"Yes","No"
"2704","No",21,"Other/Unknown","Single","Unknown","No",137,"Yes","No"
"2705","No",58,"Other/Unknown","Married","Secondary","No",2705,"No","No"
"2706","Yes",41,"Blue Collar","Single","Secondary","No",75,"Yes","No"
"2707","No",41,"White Collar","Married","Unknown","No",2457,"Yes","No"
"2708","No",58,"White Collar","Married","Tertiary","No",541,"Yes","No"
"2710","No",32,"White Collar","Married","Tertiary","No",273,"Yes","Yes"
"2711","No",44,"Blue Collar","Divorced","Secondary","No",0,"Yes","No"
"2713","No",41,"White Collar","Married","Primary","No",340,"No","No"
"2714","No",54,"Blue Collar","Married","Tertiary","No",98,"No","No"
"2716","No",32,"White Collar","Single","Tertiary","No",2629,"No","No"
"2717","No",59,"Other/Unknown","Married","Tertiary","No",0,"No","Yes"
"2718","Yes",29,"Blue Collar","Single","Tertiary","No",2325,"No","No"
"2719","No",48,"Blue Collar","Married","Secondary","Yes",-20,"No","No"
"2721","No",46,"White Collar","Divorced","Secondary","No",-852,"No","Yes"
"2722","No",31,"Blue Collar","Single","Primary","No",-280,"No","No"
"2723","Yes",53,"Blue Collar","Married","Secondary","No",25,"No","No"
"2724","No",34,"Blue Collar","Single","Tertiary","No",9851,"Yes","No"
"2725","No",48,"Blue Collar","Single","Unknown","No",5095,"Yes","No"
"2726","No",32,"Blue Collar","Married","Secondary","No",687,"No","No"
"2727","No",31,"White Collar","Married","Secondary","No",1368,"Yes","No"
"2728","No",27,"Blue Collar","Single","Primary","No",-179,"Yes","No"
"2730","No",34,"Blue Collar","Single","Tertiary","No",1011,"Yes","No"
"2731","No",52,"White Collar","Married","Secondary","No",9,"No","Yes"
"2732","No",48,"Blue Collar","Married","Secondary","No",1159,"Yes","Yes"
"2733","No",45,"Blue Collar","Married","Primary","No",-322,"No","No"
"2734","No",54,"Blue Collar","Divorced","Secondary","No",1114,"Yes","No"
"2735","No",52,"Blue Collar","Married","Secondary","No",2072,"No","No"
"2736","No",47,"White Collar","Married","Tertiary","No",459,"Yes","No"
"2737","No",54,"Other/Unknown","Married","Secondary","No",1157,"No","No"
"2738","No",34,"Blue Collar","Married","Secondary","No",8309,"Yes","Yes"
"2739","No",39,"Blue Collar","Single","Tertiary","No",1043,"No","No"
"2740","No",46,"Blue Collar","Married","Secondary","No",2098,"No","No"
"2741","No",26,"Other/Unknown","Single","Secondary","No",461,"No","No"
"2742","No",37,"Blue Collar","Single","Secondary","No",61,"Yes","No"
"2743","No",47,"Blue Collar","Married","Secondary","No",1203,"Yes","No"
"2744","No",35,"Blue Collar","Married","Secondary","No",1067,"No","Yes"
"2745","No",57,"Other/Unknown","Married","Primary","No",0,"No","No"
"2747","Yes",47,"Blue Collar","Married","Secondary","No",1219,"No","No"
"2748","No",27,"Blue Collar","Married","Secondary","No",7,"Yes","No"
"2749","Yes",40,"Blue Collar","Married","Secondary","No",-839,"Yes","Yes"
"2751","No",36,"White Collar","Married","Tertiary","No",6,"No","No"
"2752","No",42,"Blue Collar","Single","Secondary","No",0,"No","No"
"2753","No",23,"Blue Collar","Single","Primary","No",8627,"Yes","No"
"2754","No",34,"White Collar","Married","Tertiary","No",133,"Yes","No"
"2755","No",34,"Blue Collar","Married","Secondary","No",247,"Yes","Yes"
"2756","No",49,"Blue Collar","Married","Secondary","No",1114,"No","No"
"2757","No",57,"Blue Collar","Married","Primary","No",1592,"No","Yes"
"2758","No",59,"Other/Unknown","Married","Unknown","No",0,"No","No"
"2759","No",57,"White Collar","Married","Tertiary","No",46,"No","No"
"2761","Yes",61,"White Collar","Married","Secondary","No",985,"No","No"
"2762","No",35,"Blue Collar","Divorced","Secondary","No",0,"Yes","No"
"2763","No",42,"White Collar","Married","Tertiary","No",520,"No","No"
"2764","No",57,"Blue Collar","Married","Tertiary","No",10,"No","No"
"2766","No",53,"Other/Unknown","Married","Secondary","No",6095,"Yes","Yes"
"2767","No",63,"Other/Unknown","Married","Tertiary","No",133,"Yes","No"
"2768","No",47,"White Collar","Married","Secondary","No",1121,"No","No"
"2769","No",54,"Blue Collar","Married","Secondary","No",88,"Yes","No"
"2770","No",45,"White Collar","Married","Secondary","No",0,"No","No"
"2771","No",28,"White Collar","Single","Tertiary","No",-328,"Yes","No"
"2772","No",58,"Other/Unknown","Married","Secondary","No",610,"Yes","No"
"2773","No",48,"White Collar","Single","Tertiary","No",414,"No","No"
"2774","Yes",35,"White Collar","Divorced","Tertiary","No",0,"Yes","No"
"2775","No",37,"White Collar","Married","Tertiary","No",0,"No","No"
"2776","No",37,"Blue Collar","Married","Secondary","No",685,"Yes","No"
"2778","No",25,"Blue Collar","Single","Secondary","No",-352,"No","No"
"2779","No",58,"Blue Collar","Married","Secondary","No",602,"Yes","No"
"2780","No",52,"White Collar","Married","Secondary","No",-588,"Yes","No"
"2781","Yes",19,"Other/Unknown","Single","Secondary","No",302,"No","No"
"2782","No",59,"Blue Collar","Married","Secondary","No",5314,"Yes","No"
"2783","No",41,"Blue Collar","Married","Secondary","No",64,"Yes","Yes"
"2784","No",34,"Blue Collar","Single","Tertiary","No",632,"No","No"
"2786","No",41,"Blue Collar","Married","Secondary","No",902,"No","No"
"2787","No",28,"Blue Collar","Single","Secondary","No",6307,"Yes","No"
"2788","No",53,"White Collar","Divorced","Secondary","No",112,"No","Yes"
"2789","No",35,"Blue Collar","Married","Secondary","No",0,"No","Yes"
"2790","No",33,"White Collar","Single","Tertiary","No",621,"No","No"
"2791","No",37,"Blue Collar","Single","Secondary","No",435,"Yes","No"
"2792","No",32,"Blue Collar","Married","Secondary","No",782,"Yes","No"
"2793","No",32,"Blue Collar","Married","Secondary","No",478,"Yes","No"
"2794","No",54,"Blue Collar","Married","Unknown","No",7864,"Yes","No"
"2795","No",44,"Blue Collar","Married","Secondary","No",1910,"Yes","No"
"2796","No",36,"Blue Collar","Divorced","Tertiary","No",1174,"Yes","No"
"2798","No",30,"White Collar","Single","Tertiary","No",18,"No","No"
"2799","No",36,"Blue Collar","Married","Secondary","No",141,"Yes","No"
"2800","No",43,"White Collar","Married","Tertiary","No",2886,"No","No"
"2801","No",40,"Blue Collar","Married","Secondary","No",2715,"Yes","No"
"2802","No",32,"Blue Collar","Single","Tertiary","No",1100,"Yes","Yes"
"2803","No",34,"Blue Collar","Married","Secondary","No",516,"Yes","Yes"
"2804","No",37,"Blue Collar","Married","Secondary","No",1,"No","No"
"2805","No",28,"White Collar","Single","Secondary","No",775,"No","No"
"2806","No",35,"Other/Unknown","Married","Primary","No",634,"No","No"
"2807","No",53,"Blue Collar","Single","Secondary","No",5715,"No","No"
"2808","No",60,"White Collar","Married","Unknown","No",1088,"Yes","No"
"2809","No",40,"White Collar","Married","Secondary","No",1532,"Yes","Yes"
"2810","No",57,"Other/Unknown","Married","Primary","No",75,"No","No"
"2811","No",29,"Blue Collar","Single","Secondary","No",103,"No","No"
"2812","No",44,"Blue Collar","Married","Primary","No",134,"Yes","No"
"2814","No",47,"Blue Collar","Married","Secondary","No",1990,"Yes","Yes"
"2815","No",43,"Blue Collar","Married","Tertiary","No",192,"No","No"
"2816","No",37,"Blue Collar","Single","Secondary","No",267,"No","No"
"2817","No",34,"Blue Collar","Single","Tertiary","No",586,"Yes","No"
"2818","No",30,"Blue Collar","Single","Secondary","No",648,"Yes","Yes"
"2821","No",34,"White Collar","Married","Tertiary","No",1116,"Yes","No"
"2822","Yes",46,"Blue Collar","Divorced","Secondary","No",-90,"No","Yes"
"2823","Yes",38,"White Collar","Married","Tertiary","No",170,"Yes","No"
"2824","Yes",37,"Blue Collar","Single","Secondary","No",3665,"No","No"
"2825","No",28,"White Collar","Single","Tertiary","No",2380,"No","No"
"2826","No",57,"Blue Collar","Married","Primary","No",179,"No","No"
"2828","Yes",49,"Blue Collar","Married","Secondary","No",320,"No","No"
"2829","No",38,"Blue Collar","Married","Secondary","No",1960,"Yes","No"
"2830","No",27,"Blue Collar","Married","Secondary","No",818,"Yes","No"
"2831","No",30,"White Collar","Married","Secondary","No",2678,"Yes","No"
"2832","No",38,"White Collar","Married","Tertiary","No",1980,"No","No"
"2834","No",38,"Other/Unknown","Single","Unknown","No",62,"No","No"
"2835","No",59,"Other/Unknown","Married","Primary","No",235,"No","No"
"2836","No",37,"White Collar","Married","Tertiary","No",489,"Yes","No"
"2837","No",29,"White Collar","Married","Tertiary","No",3931,"Yes","No"
"2839","No",33,"Blue Collar","Married","Secondary","No",58,"Yes","No"
"2840","No",54,"Other/Unknown","Divorced","Secondary","No",1327,"No","No"
"2841","No",55,"Blue Collar","Married","Secondary","No",557,"No","No"
"2842","No",32,"Blue Collar","Single","Tertiary","No",741,"Yes","No"
"2843","No",48,"White Collar","Married","Primary","No",3230,"Yes","No"
"2844","No",33,"White Collar","Single","Tertiary","No",1439,"Yes","No"
"2845","No",46,"White Collar","Married","Secondary","No",120,"Yes","No"
"2846","Yes",44,"White Collar","Married","Tertiary","No",1058,"No","No"
"2849","No",80,"Other/Unknown","Married","Secondary","No",462,"No","No"
"2851","No",43,"White Collar","Married","Tertiary","No",1574,"Yes","No"
"2853","No",39,"White Collar","Married","Tertiary","No",562,"No","No"
"2854","No",33,"Blue Collar","Married","Secondary","No",9305,"Yes","No"
"2855","No",31,"Blue Collar","Single","Secondary","No",35,"No","Yes"
"2856","No",36,"White Collar","Single","Tertiary","No",0,"No","No"
"2857","No",35,"White Collar","Single","Tertiary","No",2486,"Yes","No"
"2858","No",25,"Blue Collar","Single","Secondary","No",368,"No","No"
"2859","No",33,"White Collar","Single","Secondary","No",1558,"Yes","No"
"2862","No",36,"White Collar","Married","Tertiary","No",0,"Yes","Yes"
"2863","No",44,"Blue Collar","Single","Tertiary","No",900,"Yes","No"
"2864","No",31,"White Collar","Single","Tertiary","No",385,"Yes","No"
"2865","No",55,"Blue Collar","Married","Primary","No",1649,"Yes","No"
"2866","Yes",51,"Other/Unknown","Divorced","Secondary","No",9228,"No","No"
"2867","No",36,"White Collar","Married","Secondary","No",0,"Yes","Yes"
"2868","No",27,"Other/Unknown","Single","Tertiary","No",1,"No","No"
"2869","No",40,"Blue Collar","Married","Secondary","No",771,"Yes","No"
"2870","No",49,"Blue Collar","Married","Secondary","No",280,"Yes","No"
"2871","No",59,"Other/Unknown","Married","Primary","No",46,"No","No"
"2872","Yes",32,"White Collar","Married","Tertiary","No",2431,"Yes","No"
"2873","No",42,"Other/Unknown","Single","Tertiary","No",308,"No","No"
"2874","No",35,"White Collar","Divorced","Tertiary","No",160,"Yes","No"
"2875","No",29,"Blue Collar","Single","Secondary","No",555,"Yes","No"
